15.204.11.54:443#PDX | Portland
5.78.105.89:443#PDX | Portland
5.78.107.248:443#PDX | Portland
5.78.109.202:443#PDX | Portland
5.78.48.246:443#PDX | Portland
5.78.51.245:443#PDX | Portland
5.78.51.6:443#PDX | Portland
5.78.59.22:443#PDX | Portland
5.78.60.162:443#PDX | Portland
5.78.60.50:443#PDX | Portland
5.78.63.194:443#PDX | Portland
51.81.209.10:443#PDX | Portland
