154.53.164.149:2053#IST | Istanbul
154.53.164.149:8443#IST | Istanbul
185.81.154.228:2083#IST | Istanbul
185.81.154.228:2087#IST | Istanbul
185.81.154.228:2096#IST | Istanbul
194.87.39.160:2053#IST | Istanbul
194.87.39.160:8443#IST | Istanbul
77.92.151.198:2053#IST | Istanbul
84.32.230.219:2053#IST | Istanbul
84.32.230.219:8443#IST | Istanbul
88.209.249.42:80#IST | Istanbul
